43.131.253.14 - - [07/Jun/2026:16:02:30 +0000] "GET / HTTP/1.1" 404 18 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1" "-"
103.203.56.1 - - [07/Jun/2026:16:38:13 +0000] "GET / HTTP/1.1" 404 18 "-" "HTTP Banner Detection (https://security.ipip.net)" "-"
45.198.224.7 - - [07/Jun/2026:17:38:27 +0000] "GET / HTTP/1.1" 404 18 "-" "-" "-"
66.132.195.99 - - [07/Jun/2026:17:43:17 +0000] "GET / HTTP/1.1" 404 18 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)" "-"
66.132.195.99 - - [07/Jun/2026:17:43:18 +0000] "PRI * HTTP/2.0" 400 150 "-" "-" "-"
66.132.195.99 - - [07/Jun/2026:17:43:21 +0000] "GET /security.txt HTTP/1.1" 404 18 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)" "-"
66.132.195.99 - - [07/Jun/2026:17:43:21 +0000] "\x16\x03\x01\x00\xEE\x01\x00\x00\xEA\x03\x03\xD77:Sn\xDFq\xA5F\x00\xF9\x99\x80\x90\x03U\xAB\xF4\x11\x03ew\x1F\x91\xF2\xA8\xA5*\xD5\xEEkS \x97\xDE\xE8\x86\xA3~#\x05\x0CL\xDAB4\xF1OlP\x03\xC1\xAF\xF8.c=\xA0\xFD\xBF\xAF\x19\xE9\x99\x84\x00&\xCC\xA8\xCC\xA9\xC0/\xC00\xC0+\xC0,\xC0\x13\xC0\x09\xC0\x14\xC0" 400 150 "-" "-" "-"
66.132.195.99 - - [07/Jun/2026:17:43:26 +0000] "\x16\x03\x01\x00\xEE\x01\x00\x00\xEA\x03\x03\xA9U\xFC8J\xE9\x5CZ\xAC\x87f2\x99=\x05\x99\xF9\xBC\xB7\x9C\xB3\x0E\x1C~YN+\xED\x98$R\xEE lp<t~\xE8\xF8\x9F-ZB\x18f\x904\xA0x\x17\xA5\xA8f(\xD3\x0C\x8C\x18\xB3\x98D\x84\xBA\xFE\x00&\xCC\xA8\xCC\xA9\xC0/\xC00\xC0+\xC0,\xC0\x13\xC0\x09\xC0\x14\xC0" 400 150 "-" "-" "-"
43.157.191.20 - - [07/Jun/2026:18:02:44 +0000] "GET / HTTP/1.1" 404 18 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1" "-"
45.61.116.111 - - [07/Jun/2026:18:39:39 +0000] "GET /.env HTTP/1.1" 404 18 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36" "-"
45.61.116.111 - - [07/Jun/2026:18:39:40 +0000] "POST / HTTP/1.1" 404 18 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36" "-"
43.153.27.244 - - [07/Jun/2026:19:28:00 +0000] "GET / HTTP/1.1" 404 18 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1" "-"
134.209.223.118 - - [07/Jun/2026:19:39:30 +0000] "GET / HTTP/1.1" 404 18 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" "-"
134.209.223.118 - - [07/Jun/2026:19:39:30 +0000] "GET /favicon.ico HTTP/1.1" 404 18 "http://15.206.115.137/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" "-"
3.144.152.57 - - [07/Jun/2026:19:51:43 +0000] "GET / HTTP/1.1" 404 18 "-" "visionheight.com/scan Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36" "-"
